uprn,house name,house number,street,licence start,licence expiry,permitted no of occupiers,address,postcode,licence type,licence reference number
100030000000,,110, Alan Moss Road,08/11/2023,07/11/2028,4, Loughborough, LE11 5LY,Additional HMO licence,CBC-053311319361
100030000000,,71, Beacon Road,09/01/2025,08/01/2030,4, Loughborough, LE11 2BE,Additional HMO licence,CBC-056336263048
100030000000,,119, Alan Moss Road,21/12/2023,20/12/2028,4, Loughborough, LE11 5LS,Additional HMO licence,CBC-056682474640
100030000000,,10, Rosebery Street,16/02/2024,15/02/2029,4, Loughborough, LE11 5DX,Additional HMO licence,CBC-056931193911
100030000000,,24, Paget Street,17/10/2023,16/10/2028,4, Loughborough, LE11 5DS,Additional HMO licence,CBC-057619466614
10023776753,West Grove Flat 8, Harry French Court ,Ashby Road,06/06/2024,05/06/2029,4,, LE11 3UN,Additional HMO licence,CBC-059712222143
100030000000,,19, Cumberland Road,22/02/2024,21/02/2029,3, Loughborough, LE11 5DE,Additional HMO licence,CBC-061179422641
100030000000,,25, Burfield Avenue,18/03/2024,17/03/2029,4, Loughborough, LE11 3AZ,Additional HMO licence,CBC-062296764562
10004000830,,23, Adam Dale,11/01/2024,10/01/2029,3, Loughborough, LE11 3HD,Additional HMO licence,CBC-062602505059
100030000000,,26, Ashleigh Drive,11/03/2024,10/03/2029,3, Loughborough, LE11 3HW,Additional HMO licence,CBC-062960821243
100030000000,,68, Coniston Crescent,27/06/2024,26/06/2029,3, Loughborough, LE11 3RH,Additional HMO licence,CBC-063594370563
100030000000,,359, New Ashby Road,23/10/2023,22/10/2028,4, Loughborough, LE11 4ET,Additional HMO licence,CBC-066210331638
100030000000,,93, Storer Road,26/02/2024,25/02/2029,3, Loughborough, LE11 5EH,Additional HMO licence,CBC-066340194232
100030000000,,114, Paget Street,06/11/2023,05/11/2028,3, Loughborough, LE11 5DU,Additional HMO licence,CBC-067090401381
100030000000,,78, Station Street,28/02/2024,27/02/2029,3, Loughborough, LE11 5EF,Additional HMO licence,CBC-068110451096
100030000000,,52, Station Street,19/02/2024,18/02/2029,3, Loughborough, LE11 5EE,Additional HMO licence,CBC-070327481558
100030000000,,126, Alan Moss Road,25/04/2024,24/04/2029,4, Loughborough, LE11 5LY,Additional HMO licence,CBC-071080529046
100030000000,,40, Granville Street,20/02/2023,19/02/2028,4, Loughborough, LE11 3BN,Additional HMO licence,CBC-071207827024
100030000000,,86, Station Street,09/04/2024,08/04/2029,4, Loughborough, LE11 5EF,Additional HMO licence,CBC-071273885227
100030000000,,4, Arthur Street,05/03/2024,04/03/2029,3, Loughborough, LE11 3AY,Additional HMO licence,CBC-076428905936
100030000000,,311, New Ashby Road,05/03/2024,04/03/2029,4, Loughborough, LE11 4ET,Additional HMO licence,CBC-077589265531
100030000000,,27, Rosebery Street,20/02/2024,19/02/2029,4, Loughborough, LE11 5DX,Additional HMO licence,CBC-079596638095
100030000000,,19, Blackbrook Road,05/02/2025,04/02/2030,4, Loughborough, LE11 4PY,Additional HMO licence,CBC-079667775110
100030000000,,247, Park Road,11/03/2024,10/03/2029,4, Loughborough, LE11 2HE,Additional HMO licence,CBC-084907385795
10070073825,Flat 3 5,5, Devonshire Lane,23/02/2024,22/02/2029,3, Loughborough, LE11 3DW,Additional HMO licence,CBC-089002338994
100030000000,,32, Clarence Street,28/03/2024,27/03/2029,4, Loughborough, LE11 1DY,Additional HMO licence,CBC-090167715719
100030000000,,30, Havelock Street,31/10/2023,30/10/2028,3, Loughborough, LE11 5DH,Additional HMO licence,CBC-090257317742
100030000000,,14, George Street,10/02/2024,09/02/2029,6, Loughborough, LE11 5DQ,Additional HMO licence,CBC-091595083611
100030000000,,113, Leopold Street,09/04/2024,08/04/2029,3, Loughborough, LE11 5DW,Additional HMO licence,CBC-093479978838
10008150805,,Managers Accommodation 32, Baxter Gate,06/08/2024,05/08/2029,4, Loughborough, LE11 1TQ,Additional HMO licence,CBC-094389025752
100030000000,,33, Rosebery Street,28/02/2024,27/02/2029,3, Loughborough, LE11 5DX,Additional HMO licence,CBC-095501091111
100030000000,,13, Rosebery Street,08/01/2024,07/01/2029,3, Loughborough, LE11 5DX,Additional HMO licence,CBC-097292021043
100030000000,,18, Granville Street,07/03/2024,06/03/2029,4, Loughborough, LE11 3BN,Additional HMO licence,CBC-097672754246
100030000000,,31, Cumberland Road,02/04/2024,01/04/2029,3, Loughborough, LE11 5DE,Additional HMO licence,CBC-098615811432
10070073823,Flat 1 5,5, Devonshire Lane,23/02/2024,22/02/2029,3, Loughborough, LE11 3DW,Additional HMO licence,CBC-098902650330
10023776660,Flat 13 Block A, The Holt ,Holt Drive,18/12/2024,17/12/2029,4,, LE11 3JB,Additional HMO licence,CBC-101701635678
100030000000,,10, Oliver Road,23/02/2024,22/02/2029,5, Loughborough, LE11 2BZ,Additional HMO licence,CBC-101792831689
100030000000,,65, William Street,04/04/2024,03/04/2029,4, Loughborough, LE11 3BX,Additional HMO licence,CBC-101845882563
100030000000,,248a, Forest Road,12/09/2024,11/09/2029,3, Loughborough, LE11 3HX,Additional HMO licence,CBC-104151426931
10012192118,,2b, Garendon Road,01/04/2024,31/03/2029,3, Loughborough, LE11 4QD,Additional HMO licence,CBC-107445176138
10094173240,,Annexe 51, Garendon Road,04/07/2024,03/07/2029,3, Loughborough, LE11 4QB,Additional HMO licence,CBC-107615929726
10004000784,,3, Robin Mews,03/04/2025,02/04/2030,4, Loughborough, LE11 3HJ,Additional HMO licence,CBC-109553608830
100030000000,,20, York Road,27/03/2024,26/03/2029,4, Loughborough, LE11 3DA,Additional HMO licence,CBC-110772792715
100030000000,,29, Rosebery Street,14/03/2024,13/03/2029,4, Loughborough, LE11 5DX,Additional HMO licence,CBC-112122694432
100030000000,,5, Oaklands Avenue,18/12/2023,17/12/2028,3, Loughborough, LE11 3JF,Additional HMO licence,CBC-112927719122
100030000000,,120, Alan Moss Road,23/10/2023,22/10/2028,4, Loughborough, LE11 5LY,Additional HMO licence,CBC-113254895017
10023776678,Flat 31 Block C, The Holt ,Holt Drive,21/02/2024,20/02/2029,4,, LE11 3JB,Additional HMO licence,CBC-114267876044
10013598102,New Block P First Floor Flat 1, William Morris Hall ,Ashby Road,26/12/2024,25/12/2029,3,, LE11 3TQ,Additional HMO licence,CBC-114462238891
100030000000,,79, Paget Street,26/02/2024,25/02/2029,4, Loughborough, LE11 5DT,Additional HMO licence,CBC-115481497437
100030000000,,11, Caldwell Street,06/10/2023,05/10/2028,4, Loughborough, LE11 3BB,Additional HMO licence,CBC-118672997051
100030000000,,41a, Park Road,14/03/2024,13/03/2029,4, Loughborough, LE11 2ED,Additional HMO licence,CBC-119537187134
100030000000,,27, Edward Street,17/04/2024,16/04/2029,4, Loughborough, LE11 1QF,Additional HMO licence,CBC-121167721002
100030000000,,74, Leopold Street,16/02/2024,15/02/2029,5, Loughborough, LE11 5DN,Additional HMO licence,CBC-122208685507
100030000000,,33, Granville Street,10/02/2024,09/02/2029,4, Loughborough, LE11 3BL,Additional HMO licence,CBC-123145920234
100030000000,,186, Alan Moss Road,16/04/2024,15/04/2029,4, Loughborough, LE11 4LZ,Additional HMO licence,CBC-123393885010
10023776059,,Flat 99, Station Street,18/03/2024,17/03/2029,3, Loughborough, LE11 5EF,Additional HMO licence,CBC-126544290781
100030000000,,58, Granville Street,10/03/2024,09/03/2029,4, Loughborough, LE11 3BN,Additional HMO licence,CBC-129290364220
100030000000,,403, New Ashby Road,11/03/2024,10/03/2029,2, Loughborough, LE11 4ET,Additional HMO licence,CBC-130898064581
100030000000,,64, Toothill Road,04/03/2024,03/03/2029,4, Loughborough, LE11 1PW,Additional HMO licence,CBC-133539719253
10004000790,,9, Robin Mews,03/04/2024,02/04/2029,4, Loughborough, LE11 3HJ,Additional HMO licence,CBC-137220802307
10004000814,,6, Adam Dale,05/04/2024,04/04/2029,4, Loughborough, LE11 3HD,Additional HMO licence,CBC-140331676644
10070073828,Flat 6 5,5, Devonshire Lane,12/02/2024,11/02/2029,4, Loughborough, LE11 3DW,Additional HMO licence,CBC-141035191834
100030000000,,55, Oxford Street,08/03/2024,07/03/2029,3, Loughborough, LE11 5DP,Additional HMO licence,CBC-142870710655
100030000000,,102, Alan Moss Road,08/03/2024,07/03/2029,4, Loughborough, LE11 5LY,Additional HMO licence,CBC-144249341164
100030000000,,3, Alan Moss Road,06/11/2024,05/11/2029,4, Loughborough, LE11 5LR,Additional HMO licence,CBC-144346582338
100030000000,,369, New Ashby Road,08/11/2023,07/11/2028,4, Loughborough, LE11 4ET,Additional HMO licence,CBC-147366980160
10004000767,,5, Moorhen Way,28/02/2024,27/02/2029,4, Loughborough, LE11 3HH,Additional HMO licence,CBC-147493233218
100030000000,,56, Granville Street,05/03/2024,04/03/2029,5, Loughborough, LE11 3BN,Additional HMO licence,CBC-147611188690
100030000000,,36, Paget Street,23/02/2024,22/02/2029,4, Loughborough, LE11 5DS,Additional HMO licence,CBC-150426249073
100030000000,,1, Fearon Street,26/02/2024,25/02/2029,3, Loughborough, LE11 5DG,Additional HMO licence,CBC-153219787494
100030000000,,72, Station Street,26/02/2024,25/02/2029,4, Loughborough, LE11 5EE,Additional HMO licence,CBC-154139548294
100030000000,,21, Broad Street,12/07/2024,11/07/2029,4, Loughborough, LE11 5AB,Additional HMO licence,CBC-154903274985
100030000000,,13, Chestnut Street,19/02/2024,18/02/2029,4, Loughborough, LE11 3BE,Additional HMO licence,CBC-155007319577
100030000000,,56, Leopold Street,20/06/2024,19/06/2029,3, Loughborough, LE11 5DN,Additional HMO licence,CBC-156250047326
100030000000,,192, Alan Moss Road,06/03/2024,05/03/2029,4, Loughborough, LE11 4LZ,Additional HMO licence,CBC-157650975958
100030000000,,14, Station Street,20/12/2023,19/12/2028,4, Loughborough, LE11 5ED,Additional HMO licence,CBC-158668864426
100030000000,,307, New Ashby Road,24/06/2024,23/06/2029,4, Loughborough, LE11 4ET,Additional HMO licence,CBC-160124747904
10070075181,,Flat 39, Ashby Road,12/10/2023,11/10/2028,3, Loughborough, LE11 3AA,Additional HMO licence,CBC-168009942116
100030000000,,134, Paget Street,19/04/2024,18/04/2029,3, Loughborough, LE11 5DU,Additional HMO licence,CBC-170553447373
100030000000,,43, Woodlands Drive,23/02/2024,22/02/2029,3, Loughborough, LE11 2DB,Additional HMO licence,CBC-171977553194
100030000000,,30, Curzon Street,23/07/2024,22/07/2029,3, Loughborough, LE11 3BQ,Additional HMO licence,CBC-173885268343
100030000000,,107, Leopold Street,22/02/2024,21/02/2029,4, Loughborough, LE11 5DW,Additional HMO licence,CBC-178760008092
100030000000,,102, Leopold Street,19/02/2024,18/02/2029,3, Loughborough, LE11 5DW,Additional HMO licence,CBC-180288684659
100030000000,,141, Derby Road,07/03/2024,06/03/2029,4, Loughborough, LE11 5AE,Additional HMO licence,CBC-180731286546
100030000000,,22, Blackbrook Road,19/03/2024,18/03/2029,4, Loughborough, LE11 4PZ,Additional HMO licence,CBC-180928173397
100030000000,,120, Paget Street,03/11/2023,02/11/2028,4, Loughborough, LE11 5DU,Additional HMO licence,CBC-180980724643
100030000000,,61, Queens Road,08/03/2024,07/03/2029,4, Loughborough, LE11 1HA,Additional HMO licence,CBC-181661305772
100030000000,,41, William Street,08/01/2024,07/01/2029,4, Loughborough, LE11 3BX,Additional HMO licence,CBC-182017187870
10004000727,,51, Kingfisher Way,20/03/2024,19/03/2029,4, Loughborough, LE11 3NF,Additional HMO licence,CBC-182026506950
100030000000,,49, Leopold Street,11/04/2024,10/04/2029,3, Loughborough, LE11 5DN,Additional HMO licence,CBC-182057320305
100030000000,,53, Cumberland Road,17/10/2023,16/10/2028,3, Loughborough, LE11 5DE,Additional HMO licence,CBC-186122154871
100030000000,,65, Leopold Street,11/12/2023,10/12/2028,4, Loughborough, LE11 5DN,Additional HMO licence,CBC-188162165815
100030000000,,56, Rendell Street,10/10/2024,09/10/2029,4, Loughborough, LE11 1LL,Additional HMO licence,CBC-188321840046
100030000000,,112, Station Street,18/12/2023,17/12/2028,4, Loughborough, LE11 5EG,Additional HMO licence,CBC-191934770219
100030000000,,13, Arthur Street,04/04/2024,03/04/2029,3, Loughborough, LE11 3AY,Additional HMO licence,CBC-192435878545
100030000000,,13a, Hastings Street,18/04/2024,17/04/2029,3, Loughborough, LE11 5AX,Additional HMO licence,CBC-192728307431
100030000000,,54, Leopold Street,01/05/2024,30/04/2029,4, Loughborough, LE11 5DN,Additional HMO licence,CBC-193592033463
100030000000,,80, Ashby Road,09/11/2023,08/11/2028,4, Loughborough, LE11 3AE,Additional HMO licence,CBC-193808281001
100030000000,,6, Granville Street,25/03/2024,24/03/2029,4, Loughborough, LE11 3BN,Additional HMO licence,CBC-198089303710
100030000000,,36, Colgrove Road,08/11/2023,07/11/2028,4, Loughborough, LE11 3NN,Additional HMO licence,CBC-198669535116
100030000000,,7, Granville Street,30/07/2024,29/07/2029,3, Loughborough, LE11 3BL,Additional HMO licence,CBC-198688550619
100030000000,,6, Oxford Street,19/03/2024,18/03/2029,4, Loughborough, LE11 5DR,Additional HMO licence,CBC-200685307008
10004000803,,9, Wren Close,08/04/2024,07/04/2029,4, Loughborough, LE11 3HL,Additional HMO licence,CBC-203073731895
10008151660,,15, Goods Yard Close,06/03/2024,05/03/2029,3, Loughborough, LE11 5EB,Additional HMO licence,CBC-204037416620
10008151674,,43, Goods Yard Close,29/02/2024,28/02/2029,5, Loughborough, LE11 5EB,Additional HMO licence,CBC-205509817696
100030000000,,49, Oxford Street,13/12/2023,12/12/2028,4, Loughborough, LE11 5DP,Additional HMO licence,CBC-205928433119
100030000000,,126, Sharpley Road,23/10/2024,22/10/2029,4, Loughborough, LE11 4PW,Additional HMO licence,CBC-208343631942
100030000000,,69, William Street,17/10/2023,16/10/2028,4, Loughborough, LE11 3BX,Additional HMO licence,CBC-208868126042
100030000000,,140, Alan Moss Road,26/03/2024,25/03/2029,4, Loughborough, LE11 5LY,Additional HMO licence,CBC-210182281187
100030000000,,28, Oxford Street,12/03/2024,11/03/2029,3, Loughborough, LE11 5DR,Additional HMO licence,CBC-213653899013
100030000000,,25, Fearon Street,29/02/2024,28/02/2029,4, Loughborough, LE11 5DG,Additional HMO licence,CBC-216139463632
100030000000,,146, Paget Street,20/11/2023,19/11/2028,4, Loughborough, LE11 5DU,Additional HMO licence,CBC-217243321265
100030000000,,11, Loweswater Drive,01/04/2024,31/03/2029,4, Loughborough, LE11 3RR,Additional HMO licence,CBC-217472948740
100030000000,,13, Leopold Street,14/03/2024,13/03/2029,4, Loughborough, LE11 5DL,Additional HMO licence,CBC-217925553061
100030000000,,2, Paget Street,08/10/2023,07/10/2028,3, Loughborough, LE11 5DS,Additional HMO licence,CBC-219831858103
100030000000,,103, Leopold Street,12/03/2024,11/03/2029,4, Loughborough, LE11 5DW,Additional HMO licence,CBC-220783922914
10004000782,,1, Robin Mews,25/03/2024,24/03/2029,4, Loughborough, LE11 3HJ,Additional HMO licence,CBC-220886751117
100030000000,,151, Forest Road,14/03/2024,13/03/2029,3, Loughborough, LE11 3HS,Additional HMO licence,CBC-222647801676
100030000000,,124, Station Street,18/07/2024,17/07/2029,3, Loughborough, LE11 5EG,Additional HMO licence,CBC-223304235997
10096754834,"Flat 2,  May Mills House ",59, Forest Road,18/03/2024,17/03/2029,4, Loughborough, LE11 3NW,Additional HMO licence,CBC-223404866449
100030000000,,47, Arthur Street,07/12/2023,06/12/2028,6, Loughborough, LE11 3AY,Additional HMO licence,CBC-223768981750
100030000000,,246, Alan Moss Road,25/03/2024,24/03/2029,4, Loughborough, LE11 4NA,Additional HMO licence,CBC-225340108041
10004002021,,12, Burton Road,22/10/2024,21/10/2029,3, Loughborough, LE12 7RU,Additional HMO licence,CBC-230635470974
100030000000,,41, Tyler Avenue,28/02/2024,27/02/2029,4, Loughborough, LE11 5NL,Additional HMO licence,CBC-230779667185
100030000000,,145, Forest Road,04/01/2024,03/01/2029,4, Loughborough, LE11 3HS,Additional HMO licence,CBC-231184095867
100030000000,,19, Shelthorpe Road,15/02/2024,14/02/2029,4, Loughborough, LE11 2PB,Additional HMO licence,CBC-233637948573
100030000000,,146, Hermitage Road,14/03/2024,13/03/2029,4, Loughborough, LE11 4PF,Additional HMO licence,CBC-234435190853
100030000000,,61, Oxford Street,22/04/2024,21/04/2029,4, Loughborough, LE11 5DP,Additional HMO licence,CBC-238212726280
100030000000,,9, Broad Street,06/11/2024,05/11/2029,4, Loughborough, LE11 5AB,Additional HMO licence,CBC-240403384759
100030000000,,97, Burder Street,08/11/2023,07/11/2028,3, Loughborough, LE11 1JJ,Additional HMO licence,CBC-241829045356
100030000000,,97, Storer Road,28/02/2024,27/02/2029,4, Loughborough, LE11 5EH,Additional HMO licence,CBC-243710443692
100030000000,,113, Station Street,18/12/2023,17/12/2028,4, Loughborough, LE11 5EG,Additional HMO licence,CBC-244130978176
100030000000,,64, Station Street,26/02/2024,25/02/2029,4, Loughborough, LE11 5EE,Additional HMO licence,CBC-244959048380
10008151675,,45, Goods Yard Close,05/12/2024,04/12/2029,4, Loughborough, LE11 5EB,Additional HMO licence,CBC-244966519503
100030000000,,21, Cumberland Road,12/01/2024,11/01/2029,4, Loughborough, LE11 5DE,Additional HMO licence,CBC-245537347480
10004000808,,18, Wren Close,11/03/2024,10/03/2029,4, Loughborough, LE11 3HL,Additional HMO licence,CBC-250117821547
100030000000,,4, Oaklands Avenue,28/10/2023,27/10/2028,3, Loughborough, LE11 3JF,Additional HMO licence,CBC-250950234432
10013597882,Ling House Flat 1, William Morris Hall ,Ashby Road,26/12/2024,25/12/2029,4,, LE11 3TQ,Additional HMO licence,CBC-254253074399
100030000000,,16a, Victoria Street,09/10/2024,08/10/2029,4, Loughborough, LE11 2EN,Additional HMO licence,CBC-254658348826
100030000000,,80, Alan Moss Road,21/12/2023,20/12/2028,4, Loughborough, LE11 5LY,Additional HMO licence,CBC-259224839349
100030000000,,82, Alan Moss Road,21/12/2023,20/12/2028,4, Loughborough, LE11 5LY,Additional HMO licence,CBC-260480667203
100030000000,,71, Oxford Street,15/02/2024,14/02/2029,3, Loughborough, LE11 5DP,Additional HMO licence,CBC-261130324814
100030000000,,128, Old Ashby Road,15/11/2023,14/11/2028,3, Loughborough, LE11 4PQ,Additional HMO licence,CBC-261295080380
100030000000,,83, Blackbrook Road,06/03/2024,05/03/2029,4, Loughborough, LE11 4PY,Additional HMO licence,CBC-263774997377
100030000000,,129, Derby Road,22/02/2024,21/02/2029,5, Loughborough, LE11 5AE,Additional HMO licence,CBC-266048640970
10004001179,,7, Carlton Close,15/02/2024,14/02/2029,4, Loughborough, LE11 5DY,Additional HMO licence,CBC-267578225933
100030000000,,41, Paget Street,23/07/2024,22/07/2029,4, Loughborough, LE11 5DS,Additional HMO licence,CBC-268304802478
100030000000,,55, York Road,22/02/2024,21/02/2029,4, Loughborough, LE11 3DA,Additional HMO licence,CBC-269481395832
100030000000,,89, Paget Street,18/12/2023,17/12/2028,3, Loughborough, LE11 5DT,Additional HMO licence,CBC-270190972810
100030000000,,28, Chestnut Street,26/02/2024,25/02/2029,6, Loughborough, LE11 3BE,Additional HMO licence,CBC-272222998399
100030000000,,405, New Ashby Road,06/03/2024,05/03/2029,4, Loughborough, LE11 4ET,Additional HMO licence,CBC-272456354531
100030000000,,69, Oxford Street,25/03/2024,24/03/2029,4, Loughborough, LE11 5DP,Additional HMO licence,CBC-275126733465
10004000769,,7, Moorhen Way,05/12/2024,04/12/2029,4, Loughborough, LE11 3HH,Additional HMO licence,CBC-275561007702
100030000000,,9, Paget Street,21/03/2024,20/03/2029,3, Loughborough, LE11 5DS,Additional HMO licence,CBC-277061744129
100030000000,,152, Sharpley Road,07/03/2024,06/03/2029,3, Loughborough, LE11 4PW,Additional HMO licence,CBC-278949837387
100030000000,,30, George Street,25/03/2024,24/03/2029,3, Loughborough, LE11 5DQ,Additional HMO licence,CBC-282356139229
100030000000,,88, Paget Street,24/11/2023,23/11/2028,3, Loughborough, LE11 5DT,Additional HMO licence,CBC-283344551273
100030000000,,73, Leopold Street,14/11/2023,13/11/2028,4, Loughborough, LE11 5DN,Additional HMO licence,CBC-287161683541
10023776679,Flat 33 Block D, The Holt ,Holt Drive,21/02/2024,20/02/2029,4,, LE11 3JB,Additional HMO licence,CBC-288328744006
100030000000,,48, Oxford Street,23/02/2024,22/02/2029,4, Loughborough, LE11 5DR,Additional HMO licence,CBC-289094718174
100030000000,,50, Granville Street,14/03/2024,13/03/2029,4, Loughborough, LE11 3BN,Additional HMO licence,CBC-289362360135
100030000000,,34, Howard Street,12/03/2024,11/03/2029,4, Loughborough, LE11 1PD,Additional HMO licence,CBC-289771265008
100030000000,,32, Chestnut Street,04/11/2023,03/11/2028,6, Loughborough, LE11 3BE,Additional HMO licence,CBC-290290404668
100030000000,,9, Schofield Road,10/02/2024,09/02/2029,3, Loughborough, LE11 4QH,Additional HMO licence,CBC-292071329550
100030000000,,106, Valley Road,20/07/2023,19/07/2028,5, Loughborough, LE11 3QA,Additional HMO licence,CBC-293033549298
10013597884,Ling House Flat 3, William Morris Hall ,Ashby Road,25/12/2024,24/12/2029,4,, LE11 3TQ,Additional HMO licence,CBC-294104218734
100030000000,,427, New Ashby Road,18/03/2024,17/03/2029,3, Loughborough, LE11 4EU,Additional HMO licence,CBC-295813157334
100030000000,,70, Oxford Street,02/04/2024,01/04/2029,4, Loughborough, LE11 5DR,Additional HMO licence,CBC-298742293525
10008151668,,31, Goods Yard Close,20/03/2024,19/03/2029,3, Loughborough, LE11 5EB,Additional HMO licence,CBC-300119174024
100030000000,,113, Paget Street,09/04/2024,08/04/2029,3, Loughborough, LE11 5DU,Additional HMO licence,CBC-301184732075
100030000000,,32, Granville Street,26/02/2024,25/02/2029,4, Loughborough, LE11 3BN,Additional HMO licence,CBC-301217146945
100030000000,,55, Rosebery Street,21/12/2023,20/12/2028,6, Loughborough, LE11 5DX,Additional HMO licence,CBC-303229903627
100030000000,,31, Station Street,04/03/2024,03/03/2029,4, Loughborough, LE11 5ED,Additional HMO licence,CBC-304326489799
100030000000,,12, Arthur Street,05/03/2024,04/03/2029,4, Loughborough, LE11 3AY,Additional HMO licence,CBC-306517590793
100030000000,,10, Granville Street,19/02/2024,18/02/2029,5, Loughborough, LE11 3BN,Additional HMO licence,CBC-307058112430
100030000000,,51, Paget Street,29/04/2024,28/04/2029,3, Loughborough, LE11 5DT,Additional HMO licence,CBC-308329806796
100030000000,,12, Burleigh Road,04/03/2024,03/03/2029,4, Loughborough, LE11 3BA,Additional HMO licence,CBC-308782831400
100030000000,,6, Chestnut Street,21/02/2024,20/02/2029,4, Loughborough, LE11 3BE,Additional HMO licence,CBC-309561602424
100030000000,,7, Ashby Crescent,21/05/2024,20/05/2029,4, Loughborough, LE11 4ES,Additional HMO licence,CBC-314477933513
10004000879,,22, Goldfinch Close,07/12/2023,06/12/2028,4, Loughborough, LE11 3HG,Additional HMO licence,CBC-314694497472
100030000000,,118, Paget Street,21/12/2023,20/12/2028,4, Loughborough, LE11 5DU,Additional HMO licence,CBC-316852274905
