Licence type,Licence reference number,Property address,UPRN,Licence start date,Licence end date,Maximum permitted occupants
Mandatory HMO licence,CBC-060056504305,"39, Granby Street, Loughborough, LE11 3DU",1.00032E+11,30/11/2021,29/11/2026,0
Mandatory HMO licence,CBC-630950321923,"6, Fearon Street, Loughborough, LE11 5DG",1.00032E+11,07/04/2021,10/11/2025,0
Mandatory HMO licence,CBC-068756710442,"63, William Street, Loughborough, LE11 3BX",1.0003E+11,04/08/2021,03/08/2026,0
Mandatory HMO licence,CBC-056639633324,"39, Kingfisher Way, Loughborough, LE11 3NF",10004000721,23/10/2020,23/10/2025,0
Mandatory HMO licence,CBC-033234153499,"5, Forest Road, Loughborough, LE11 3NW",1.0003E+11,27/07/2023,10/08/2027,6
Mandatory HMO licence,CBC-503065645391,"6, Wren Close, Loughborough, LE11 3HL",10004000800,02/12/2020,24/07/2025,7
Mandatory HMO licence,CBC-837192127208,"47, Goods Yard Close, Loughborough, LE11 5EB",10008151676,27/07/2023,11/10/2027,5
Mandatory HMO licence,CBC-989904130665,"25a, Rectory Place, Loughborough, LE11 1UW",10070075055,08/02/2022,07/02/2027,0
Mandatory HMO licence,CBC-533198415074,"2, Archdale Street, Leicester, LE7 1NA",1.0003E+11,19/04/2022,18/04/2027,0
Mandatory HMO licence,CBC-025608230631,"The Carpenters Arms Wharncliffe Road, Loughborough, LE11 1SL",10008150860,14/09/2023,04/11/2027,12
Mandatory HMO licence,CBC-468698738441,"14, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,15/02/2024,14/02/2029,6
Mandatory HMO licence,CBC-041492233548,"22, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,12/07/2022,20/10/2026,0
Mandatory HMO licence,CBC-625839531264,"24, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,19/12/2022,13/07/2027,0
Mandatory HMO licence,CBC-377499565849,"32, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,24/03/2021,03/10/2025,0
Mandatory HMO licence,CBC-435093133550,"40, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,20/12/2022,13/07/2027,0
Mandatory HMO licence,CBC-056372603489,"17, Ashby Crescent, Loughborough, LE11 4ES",1.0003E+11,18/03/2022,17/03/2027,0
Mandatory HMO licence,CBC-316614037039,"2, Broad Street, Loughborough, LE11 5AB",1.0003E+11,27/05/2020,26/05/2025,0
Mandatory HMO licence,CBC-463833287487,"18, Byron Street Extension, Loughborough, LE11 5HE",1.0003E+11,29/05/2024,28/05/2029,7
Mandatory HMO licence,CBC-511859221003,"7, Derwent Drive, Loughborough, LE11 3RJ",1.0003E+11,17/02/2021,16/02/2026,0
Mandatory HMO licence,CBC-997076637597,"28, Derwent Drive, Loughborough, LE11 3RJ",1.0003E+11,23/10/2023,22/10/2028,6
Mandatory HMO licence,CBC-293703901208,"6, Curzon Street, Loughborough, LE11 3BQ",1.0003E+11,31/08/2023,31/10/2027,5
Mandatory HMO licence,CBC-386642652169,"43, Cotswold Close, Loughborough, LE11 3AN",1.0003E+11,29/03/2022,28/03/2027,0
Mandatory HMO licence,CBC-354764392204,"18, Hastings Street, Loughborough, LE11 5AX",1.0003E+11,14/02/2023,13/02/2028,0
Mandatory HMO licence,CBC-454217162755,"35, Hastings Street, Loughborough, LE11 5AX",1.0003E+11,12/05/2020,12/05/2025,0
Mandatory HMO licence,CBC-133173313075,"45, Havelock Street, Loughborough, LE11 5DH",1.0003E+11,27/02/2024,26/02/2029,5
Mandatory HMO licence,CBC-687113336685,"103, Gracedieu Road, Loughborough, LE11 4QF",1.0003E+11,27/10/2021,26/10/2026,0
Mandatory HMO licence,CBC-838916029814,"14, Grange Street, Loughborough, LE11 1QG",1.0003E+11,12/03/2021,11/03/2026,0
Mandatory HMO licence,CBC-742826679419,"9, Garton Road, Loughborough, LE11 2DY",1.0003E+11,30/08/2023,29/08/2028,6
Mandatory HMO licence,CBC-583695170272,"58, Leopold Street, Loughborough, LE11 5DN",1.0003E+11,14/02/2023,14/06/2027,0
Mandatory HMO licence,CBC-117853870836,"25, Loweswater Drive, Loughborough, LE11 3RR",1.0003E+11,07/04/2021,06/04/2026,0
Mandatory HMO licence,CBC-769700905999,"35, Oxford Street, Loughborough, LE11 5DP",1.0003E+11,15/12/2022,14/12/2027,0
Mandatory HMO licence,CBC-797330237960,"64, Oxford Street, Loughborough, LE11 5DR",1.0003E+11,09/03/2022,08/03/2027,0
Mandatory HMO licence,CBC-371207937459,"42, Paget Street, Loughborough, LE11 5DS",1.0003E+11,18/07/2023,17/07/2028,5
Mandatory HMO licence,CBC-769921511612,"68, Paget Street, Loughborough, LE11 5DT",1.0003E+11,27/05/2020,27/05/2025,0
Mandatory HMO licence,CBC-857689231281,"122, Park Road, Loughborough, LE11 2HH",1.0003E+11,07/08/2023,06/09/2026,6
Mandatory HMO licence,CBC-093056484830,"Beech House 8, Park Street, Loughborough, LE11 2EG",1.0003E+11,25/04/2024,24/04/2029,5
Mandatory HMO licence,CBC-885156128132,"28, Shakespeare Street, Loughborough, LE11 1QQ",1.0003E+11,20/07/2022,23/02/2027,0
Mandatory HMO licence,CBC-404373528768,"25, Station Street, Loughborough, LE11 5ED",1.0003E+11,07/08/2020,06/08/2025,0
Mandatory HMO licence,CBC-813264403405,"4, Storer Road, Loughborough, LE11 5EQ",1.0003E+11,24/07/2023,23/07/2028,5
Mandatory HMO licence,CBC-109504487742,"19, York Road, Loughborough, LE11 3DA",1.0003E+11,24/11/2021,23/11/2026,0
Mandatory HMO licence,CBC-818109298615,"139, Ashby Road, Loughborough, LE11 3AD",1.00032E+11,08/02/2021,16/12/2025,0
Mandatory HMO licence,CBC-517438447797,"28, Wharncliffe Road, Loughborough, LE11 1SN",1.0003E+11,25/04/2024,24/04/2029,7
Mandatory HMO licence,CBC-271618639581,"38, Oxford Street, Loughborough, LE11 5DR",1.0003E+11,28/07/2021,27/07/2026,0
Mandatory HMO licence,CBC-053785698103,"16, Moorhen Way, Loughborough, LE11 3HH",10004000777,26/04/2022,25/04/2027,0
Mandatory HMO licence,CBC-404206860318,"147, Ashby Road, Loughborough, LE11 3AD",1.0003E+11,15/02/2021,16/12/2025,0
Mandatory HMO licence,CBC-221849985493,"156, Ashby Road, Loughborough, LE11 3AG",1.0003E+11,27/07/2023,08/10/2027,8
Mandatory HMO licence,CBC-674100726516,"10, Edward Street, Loughborough, LE11 1QF",1.0003E+11,14/02/2023,16/07/2027,0
Mandatory HMO licence,CBC-371229829938,"17, Edward Street, Loughborough, LE11 1QF",1.0003E+11,15/12/2022,04/09/2027,0
Mandatory HMO licence,CBC-157153502035,"31, Edward Street, Loughborough, LE11 1QF",1.0003E+11,12/03/2021,11/03/2026,0
Mandatory HMO licence,CBC-492463579805,"40, Adam Dale, Loughborough, LE11 3HD",10004000847,15/03/2021,14/03/2026,0
Mandatory HMO licence,CBC-698056045148,"51, Goods Yard Close, Loughborough, LE11 5EB",10008151678,04/06/2021,03/06/2026,0
Mandatory HMO licence,CBC-012647667218,"Tynte House 188, Ashby Road, Loughborough, LE11 3AG",1.0003E+11,18/12/2024,17/12/2029,8
Mandatory HMO licence,CBC-041711830428,"443, New Ashby Road, Loughborough, LE11 4EU",1.0003E+11,18/03/2024,17/03/2029,5
Mandatory HMO licence,CBC-138501023896,"27, Kingfisher Way, Loughborough, LE11 3NF",10004000715,27/07/2023,26/07/2028,6
Mandatory HMO licence,CBC-750723576890,"5, Church Lane, Leicester, LE4 8DR",1.0003E+11,20/12/2022,19/12/2027,5
Mandatory HMO licence,CBC-135332933058,"92, The Ringway, Leicester, LE7 3DL",1.0003E+11,16/04/2024,15/04/2029,5
Mandatory HMO licence,CBC-518534723695,"2, Bampton Street, Loughborough, LE11 2DR",1.0003E+11,20/06/2023,19/06/2028,6
Mandatory HMO licence,CBC-674400272372,"5, Albert Place, Loughborough, LE11 2DN",1.0003E+11,15/03/2023,13/07/2027,4
Mandatory HMO licence,CBC-656044173526,"1, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,02/08/2022,01/08/2027,0
Mandatory HMO licence,CBC-906472316031,"10, Broad Street, Loughborough, LE11 5AB",1.0003E+11,15/02/2022,06/10/2026,0
Mandatory HMO licence,CBC-031582612691,"9, Coniston Crescent, Loughborough, LE11 3RQ",1.0003E+11,22/03/2021,21/03/2026,0
Mandatory HMO licence,CBC-316356391598,"2, Caldwell Street, Loughborough, LE11 3BB",1.0003E+11,20/01/2022,19/01/2027,0
Mandatory HMO licence,CBC-354675734836,"34, Chestnut Street, Loughborough, LE11 3BE",1.0003E+11,04/10/2022,15/03/2027,0
Mandatory HMO licence,CBC-864567109966,"138, Forest Road, Loughborough, LE11 3NR",1.0003E+11,30/04/2021,29/04/2026,0
Mandatory HMO licence,CBC-931540760633,"211, Derby Road, Loughborough, LE11 5HJ",1.0003E+11,14/12/2020,14/12/2025,0
Mandatory HMO licence,CBC-830099750216,"3, Cotswold Close, Loughborough, LE11 3AN",1.0003E+11,26/04/2022,25/04/2027,0
Mandatory HMO licence,CBC-883371972213,"18, Great Central Road, Loughborough, LE11 1RW",1.0003E+11,08/06/2023,17/09/2027,6
Mandatory HMO licence,CBC-609597850129,"26, Herbert Street, Loughborough, LE11 1NX",1.0003E+11,06/07/2020,06/07/2025,0
Mandatory HMO licence,CBC-864679674470,"100, Leopold Street, Loughborough, LE11 5DW",1.0003E+11,10/06/2020,10/06/2025,0
Mandatory HMO licence,CBC-466856620310,"21, Leopold Street, Loughborough, LE11 5DL",1.0003E+11,09/03/2022,27/09/2026,0
Mandatory HMO licence,CBC-812212399401,"2a, Outwoods Avenue, Loughborough, LE11 3LP",1.0003E+11,04/08/2021,03/08/2026,0
Mandatory HMO licence,CBC-171289064313,"68, Oxford Street, Loughborough, LE11 5DR",1.0003E+11,14/08/2024,13/08/2029,6
Mandatory HMO licence,CBC-951776205761,"31, Paget Street, Loughborough, LE11 5DS",1.0003E+11,10/03/2021,09/03/2026,0
Mandatory HMO licence,CBC-397751223513,"6, Nanpantan Road, Loughborough, LE11 3SU",1.0003E+11,23/08/2022,22/08/2027,0
Mandatory HMO licence,CBC-762343890932,"95, Paget Street, Loughborough, LE11 5DT",1.0003E+11,15/02/2022,27/09/2026,0
Mandatory HMO licence,CBC-010043131943,"20, Ratcliffe Road, Loughborough, LE11 1LQ",1.0003E+11,30/08/2023,30/10/2027,6
Mandatory HMO licence,CBC-193738702076,"15, Park Road, Loughborough, LE11 2ED",1.0003E+11,08/12/2022,07/12/2027,0
Mandatory HMO licence,CBC-573542920641,"137, Park Road, Loughborough, LE11 2HD",1.0003E+11,27/07/2023,26/07/2028,6
Mandatory HMO licence,CBC-566697324758,"141, Park Road, Loughborough, LE11 2HD",1.0003E+11,25/03/2022,19/12/2026,0
Mandatory HMO licence,CBC-534368495420,"19, Storer Road, Loughborough, LE11 5EQ",1.0003E+11,14/09/2023,12/11/2027,5
Mandatory HMO licence,CBC-465472017536,"95, Storer Road, Loughborough, LE11 5EH",1.0003E+11,15/02/2021,25/07/2025,0
Mandatory HMO licence,CBC-948603590762,"28, Royland Road, Loughborough, LE11 2EH",1.0003E+11,09/03/2022,08/03/2027,0
Mandatory HMO licence,CBC-888039705447,"17, York Road, Loughborough, LE11 3DA",1.0003E+11,27/07/2023,02/02/2027,6
Mandatory HMO licence,CBC-464007185382,"28, York Road, Loughborough, LE11 3DA",1.0003E+11,23/04/2021,30/12/2025,0
Mandatory HMO licence,CBC-719776498125,"33, York Road, Loughborough, LE11 3DA",1.0003E+11,19/03/2021,03/10/2025,0
Mandatory HMO licence,CBC-815768795885,"36, York Road, Loughborough, LE11 3DA",1.0003E+11,16/04/2021,30/12/2025,0
Mandatory HMO licence,CBC-673172964758,"53, William Street, Loughborough, LE11 3BX",1.0003E+11,21/09/2020,24/07/2025,0
Mandatory HMO licence,CBC-698050824833,"14, Moorhen Way, Loughborough, LE11 3HH",10004000775,04/12/2020,24/07/2025,0
Mandatory HMO licence,CBC-161642790719,"137, Ashby Road, Loughborough, LE11 3AD",1.0003E+11,01/02/2021,16/12/2025,0
Mandatory HMO licence,CBC-439562528168,"2, Edward Street, Loughborough, LE11 1QF",1.0003E+11,15/03/2021,14/03/2026,0
Mandatory HMO licence,CBC-333420032534,"88, Leicester Road, Loughborough, LE11 2AQ",1.0003E+11,29/07/2021,28/07/2026,0
Mandatory HMO licence,CBC-055025609808,"4, Wren Close, Loughborough, LE11 3HL",10004000798,07/12/2020,06/12/2025,0
Mandatory HMO licence,CBC-246116746043,"3, Adam Dale, Loughborough, LE11 3HD",10004000811,12/07/2022,11/07/2027,0
Mandatory HMO licence,CBC-869048230827,"7, Wheel Tappers Way, Loughborough, LE11 5EA",10008151651,16/12/2021,09/08/2026,0
Mandatory HMO licence,CBC-018767867225,"6a, Havelock Street, Loughborough, LE11 5DH",10012189944,24/11/2021,23/11/2026,0
Mandatory HMO licence,CBC-545795425338,"145, Ashby Road, Loughborough, LE11 3AD",10012191580,01/02/2021,16/12/2025,0
Mandatory HMO licence,CBC-566519424766,"76a, Leicester Road, Loughborough, LE11 2AG",10023778451,07/06/2022,08/10/2026,0
Mandatory HMO licence,CBC-387024981431,"224, Alan Moss Road, Loughborough, LE11 4LZ",1.0003E+11,05/03/2024,04/03/2029,5
Mandatory HMO licence,CBC-224105513507,"89, Beacon Road, Loughborough, LE11 2BG",1.0003E+11,18/09/2020,18/09/2025,0
Mandatory HMO licence,CBC-136969382800,"61, Cumberland Road, Loughborough, LE11 5DE",1.0003E+11,29/05/2020,29/05/2025,0
Mandatory HMO licence,CBC-574369127939,"27, Curzon Street, Loughborough, LE11 3BQ",1.0003E+11,13/12/2021,29/06/2026,0
Mandatory HMO licence,CBC-233632729671,"11, Fearon Street, Loughborough, LE11 5DG",1.0003E+11,27/07/2023,26/07/2028,5
Mandatory HMO licence,CBC-763103283197,"15, Fearon Street, Loughborough, LE11 5DG",1.0003E+11,27/07/2023,14/10/2027,6
Mandatory HMO licence,CBC-713904788182,"92, Herrick Road, Loughborough, LE11 2BT",1.0003E+11,28/02/2024,27/02/2029,11
Mandatory HMO licence,CBC-640947605933,"37, Hastings Street, Loughborough, LE11 5AX",1.0003E+11,06/03/2024,05/03/2029,5
Mandatory HMO licence,CBC-142727645228,"31, Gracedieu Road, Loughborough, LE11 4QF",1.0003E+11,16/12/2021,15/12/2026,0
Mandatory HMO licence,CBC-726859915480,"19, Herbert Street, Loughborough, LE11 1NU",1.0003E+11,26/07/2021,17/04/2026,0
Mandatory HMO licence,CBC-927999758220,"62, Granville Street, Loughborough, LE11 3BN",1.0003E+11,17/03/2021,16/03/2026,0
Mandatory HMO licence,CBC-272761428465,"64, Granville Street, Loughborough, LE11 3BN",1.0003E+11,12/04/2022,11/04/2027,0
Mandatory HMO licence,CBC-522723741912,"1, Hudson Street, Loughborough, LE11 1EJ",1.0003E+11,25/03/2022,24/03/2027,0
Mandatory HMO licence,CBC-786113349370,"62, Leopold Street, Loughborough, LE11 5DN",1.0003E+11,06/06/2023,13/07/2027,8
Mandatory HMO licence,CBC-983386919872,"34, Paget Street, Loughborough, LE11 5DS",1.0003E+11,23/10/2023,22/10/2028,5
Mandatory HMO licence,CBC-660837910303,"9, Oliver Road, Loughborough, LE11 2BZ",1.0003E+11,10/11/2022,09/11/2027,0
Mandatory HMO licence,CBC-256096380524,"97, Park Road, Loughborough, LE11 2HD",1.0003E+11,05/05/2021,04/05/2026,0
Mandatory HMO licence,CBC-621875290658,"103, Ratcliffe Road, Loughborough, LE11 1LG",1.0003E+11,23/07/2024,22/07/2029,9
Mandatory HMO licence,CBC-913090187036,"7, Rectory Road, Loughborough, LE11 1PL",1.0003E+11,02/08/2021,28/06/2026,5
Mandatory HMO licence,CBC-919582326946,"7, Sharpley Road, Loughborough, LE11 4PJ",1.0003E+11,07/09/2023,06/09/2028,5
Mandatory HMO licence,CBC-519641879856,"47, Rosebery Street, Loughborough, LE11 5DX",1.0003E+11,18/03/2022,17/03/2027,0
Mandatory HMO licence,CBC-292096842409,"14, Royland Road, Loughborough, LE11 2EH",1.0003E+11,26/07/2022,25/07/2027,0
Mandatory HMO licence,CBC-158835023752,"47, Toothill Road, Loughborough, LE11 1PN",1.0003E+11,07/08/2020,07/08/2025,0
Mandatory HMO licence,CBC-895817227861,"89, Toothill Road, Loughborough, LE11 1PN",1.0003E+11,20/07/2023,07/09/2027,6
Mandatory HMO licence,CBC-374041408455,"91, William Street, Loughborough, LE11 3BY",1.0003E+11,18/12/2023,30/03/2028,5
Mandatory HMO licence,CBC-931761975476,"39, York Road, Loughborough, LE11 3DA",1.0003E+11,20/07/2022,23/02/2027,0
Mandatory HMO licence,CBC-385568605928,"55, William Street, Loughborough, LE11 3BX",1.0003E+11,29/10/2023,28/10/2028,6
Mandatory HMO licence,CBC-070689984676,"19, Moorhen Way, Loughborough, LE11 3HH",10004000779,09/03/2022,08/03/2027,0
Mandatory HMO licence,CBC-620654407080,"90, Leicester Road, Loughborough, LE11 2AQ",1.0003E+11,20/12/2023,19/12/2028,6
Mandatory HMO licence,CBC-384195518783,"38, Adam Dale, Loughborough, LE11 3HD",10004000845,16/04/2024,15/04/2029,4
Mandatory HMO licence,CBC-467689568510,"42, Adam Dale, Loughborough, LE11 3HD",10004000849,21/02/2024,20/02/2029,5
Mandatory HMO licence,CBC-550283434759,"3, Goldfinch Close, Loughborough, LE11 3HG",10004000861,07/05/2021,30/12/2025,0
Mandatory HMO licence,CBC-140208270883,"9, Goldfinch Close, Loughborough, LE11 3HG",10004000867,19/07/2023,14/10/2027,5
Mandatory HMO licence,CBC-142560529880,"54a, Gracedieu Road, Loughborough, LE11 4QG",10012191559,07/09/2023,06/09/2028,5
Mandatory HMO licence,CBC-557854530323,"9a, Market Street, LE11 3EP",10091075473,10/05/2024,09/05/2029,6
Mandatory HMO licence,CBC-516281494265,"46, Ashleigh Drive, Loughborough, LE11 3HW",1.0003E+11,16/12/2021,15/12/2026,0
Mandatory HMO licence,CBC-169165964438,"10, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,08/02/2022,07/02/2027,0
Mandatory HMO licence,CBC-261989001073,"Iffley 186, Ashby Road, Loughborough, LE11 3AG",1.0003E+11,18/12/2024,17/12/2029,12
Mandatory HMO licence,CBC-943374747594,"22, Carington Street, Loughborough, LE11 5NF",1.0003E+11,19/03/2021,18/03/2026,9
Mandatory HMO licence,CBC-870595553928,"6, Burleigh Road, Loughborough, LE11 3BA",1.0003E+11,12/03/2024,11/03/2029,6
